START_ID,:END_ID,:TYPE
0.0,835.0,BELONGS_TO
1.0,509.0,BELONGS_TO
2.0,183.0,BELONGS_TO
4.0,169.0,BELONGS_TO
5.0,532.0,BELONGS_TO
6.0,191.0,BELONGS_TO
7.0,889.0,BELONGS_TO
8.0,889.0,BELONGS_TO
9.0,595.0,BELONGS_TO
11.0,889.0,BELONGS_TO
12.0,845.0,BELONGS_TO
13.0,243.0,BELONGS_TO
14.0,8.0,BELONGS_TO
16.0,575.0,BELONGS_TO
17.0,846.0,BELONGS_TO
18.0,14.0,BELONGS_TO
19.0,859.0,BELONGS_TO
20.0,988.0,BELONGS_TO
21.0,582.0,BELONGS_TO
22.0,889.0,BELONGS_TO
23.0,859.0,BELONGS_TO
24.0,889.0,BELONGS_TO
25.0,889.0,BELONGS_TO
26.0,582.0,BELONGS_TO
27.0,582.0,BELONGS_TO
29.0,190.0,BELONGS_TO
30.0,16.0,BELONGS_TO
31.0,417.0,BELONGS_TO
33.0,889.0,BELONGS_TO
35.0,510.0,BELONGS_TO
36.0,507.0,BELONGS_TO
37.0,889.0,BELONGS_TO
38.0,575.0,BELONGS_TO
39.0,162.0,BELONGS_TO
40.0,16.0,BELONGS_TO
41.0,243.0,BELONGS_TO
42.0,188.0,BELONGS_TO
43.0,582.0,BELONGS_TO
45.0,1001.0,BELONGS_TO
46.0,889.0,BELONGS_TO
47.0,575.0,BELONGS_TO
49.0,8.0,BELONGS_TO
50.0,889.0,BELONGS_TO
51.0,188.0,BELONGS_TO
52.0,972.0,BELONGS_TO
53.0,417.0,BELONGS_TO
55.0,190.0,BELONGS_TO
56.0,575.0,BELONGS_TO
58.0,16.0,BELONGS_TO
59.0,1000.0,BELONGS_TO
62.0,346.0,BELONGS_TO
64.0,889.0,BELONGS_TO
65.0,378.0,BELONGS_TO
66.0,401.0,BELONGS_TO
67.0,190.0,BELONGS_TO
68.0,835.0,BELONGS_TO
69.0,889.0,BELONGS_TO
71.0,628.0,BELONGS_TO
72.0,244.0,BELONGS_TO
73.0,575.0,BELONGS_TO
74.0,417.0,BELONGS_TO
76.0,889.0,BELONGS_TO
78.0,191.0,BELONGS_TO
79.0,599.0,BELONGS_TO
80.0,434.0,BELONGS_TO
81.0,191.0,BELONGS_TO
82.0,698.0,BELONGS_TO
83.0,13.0,BELONGS_TO
86.0,188.0,BELONGS_TO
87.0,889.0,BELONGS_TO
90.0,188.0,BELONGS_TO
91.0,889.0,BELONGS_TO
92.0,181.0,BELONGS_TO
95.0,621.0,BELONGS_TO
98.0,352.0,BELONGS_TO
99.0,188.0,BELONGS_TO
3.0,889.0,BELONGS_TO
10.0,689.0,BELONGS_TO
15.0,889.0,BELONGS_TO
28.0,727.0,BELONGS_TO
32.0,889.0,BELONGS_TO
34.0,1000.0,BELONGS_TO
44.0,1001.0,BELONGS_TO
48.0,889.0,BELONGS_TO
54.0,889.0,BELONGS_TO
57.0,727.0,BELONGS_TO
60.0,145.0,BELONGS_TO
61.0,864.0,BELONGS_TO
63.0,889.0,BELONGS_TO
70.0,889.0,BELONGS_TO
75.0,889.0,BELONGS_TO
77.0,243.0,BELONGS_TO
84.0,1001.0,BELONGS_TO
85.0,192.0,BELONGS_TO
88.0,889.0,BELONGS_TO
89.0,778.0,BELONGS_TO
93.0,768.0,BELONGS_TO
94.0,509.0,BELONGS_TO
96.0,190.0,BELONGS_TO
97.0,848.0,BELONGS_TO
