course_id:ID,course_name,course_difficulty_level,course_url,:LABEL
0,Python and Statistics for Financial Analysis,Advanced,https://www.coursera.org/learn/python-statistics-financial-analysis,COURSE
1,Parallel programming,Beginner,https://www.coursera.org/learn/parprog1,COURSE
2,Getting Started with Go,Intermediate,https://www.coursera.org/learn/golang-getting-started,COURSE
3,TensorFlow for CNNs Transfer Learning,Beginner,https://www.coursera.org/learn/tensorflow-for-cnns-transfer-learning,COURSE
4,Image Classification with CNNs using Keras,Beginner,https://www.coursera.org/learn/image-classification-cnn-keras,COURSE
5,Create your first test automation script  Selenium and C,Beginner,https://www.coursera.org/learn/create-first-test-automation-script-using-selenium-and-c-sharp,COURSE
6,Behavior Driven Development with Selenium and Cucumber,Intermediate,https://www.coursera.org/learn/behavior-driven-development-with-selenium-cucumber,COURSE
7,Building Test Automation Framework using Selenium and TestNG,Beginner,https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng,COURSE
8,Advanced TestNG Framework and Integration with Selenium,Beginner,https://www.coursera.org/learn/Advanced-testng-framework-integration-with-selenium,COURSE
9,Automate an ecommerce web application using Selenium  Java,Beginner,https://www.coursera.org/learn/automate-e-commerce-web-application-using-selenium-java,COURSE
10,Organisational design Know your organisation,Beginner,https://www.coursera.org/learn/organisational-design-know-your-organisation,COURSE
11,NonCommunicable Diseases in Humanitarian Settings,Beginner,https://www.coursera.org/learn/non-communicable-diseases-in-humanitarian-settings,COURSE
12,Agile Projects  Developing Tasks with Taiga,Beginner,https://www.coursera.org/learn/developing-agile-tasks-taiga,COURSE
13,"Anticipating Your Next Battle, in Business and Beyond",Advanced,https://www.coursera.org/learn/anticipate,COURSE
14,Agile Analytics,Beginner,https://www.coursera.org/learn/uva-darden-agile-analytics,COURSE
15,Federal Taxation II Property Transactions of Business Owners and Shareholders,Advanced,https://www.coursera.org/learn/federal-taxation-business,COURSE
16,Build a Linear Layout App in Android Studio,Beginner,https://www.coursera.org/learn/build-linear-layout-app-android-studio,COURSE
17,Mind Control Managing Your Mental Health During COVID,Beginner,https://www.coursera.org/learn/manage-health-covid-19,COURSE
18,Financial Regulation in Emerging Markets and the Rise of Fintech Companies,Intermediate,https://www.coursera.org/learn/financial-regulation,COURSE
19,The Product Lifecycle A Guide from start to finish,Beginner,https://www.coursera.org/learn/the-product-life-cycle,COURSE
