:START_ID,:END_ID,:TYPE
0,0,NEEDS
0,1,NEEDS
0,2,NEEDS
0,3,NEEDS
0,4,NEEDS
0,5,NEEDS
1,6,NEEDS
1,7,NEEDS
1,8,NEEDS
2,9,NEEDS
2,10,NEEDS
2,11,NEEDS
2,12,NEEDS
2,13,NEEDS
2,14,NEEDS
5,14,NEEDS
11,14,NEEDS
2,15,NEEDS
3,16,NEEDS
10,16,NEEDS
3,17,NEEDS
10,17,NEEDS
4,18,NEEDS
4,19,NEEDS
5,19,NEEDS
10,19,NEEDS
4,20,NEEDS
13,20,NEEDS
4,21,NEEDS
13,21,NEEDS
5,22,NEEDS
5,23,NEEDS
9,23,NEEDS
5,24,NEEDS
5,25,NEEDS
5,26,NEEDS
11,26,NEEDS
6,27,NEEDS
6,28,NEEDS
7,29,NEEDS
7,30,NEEDS
8,31,NEEDS
8,32,NEEDS
8,33,NEEDS
8,34,NEEDS
8,35,NEEDS
8,36,NEEDS
9,37,NEEDS
9,38,NEEDS
9,39,NEEDS
9,40,NEEDS
9,41,NEEDS
9,42,NEEDS
9,43,NEEDS
9,44,NEEDS
9,45,NEEDS
9,46,NEEDS
9,47,NEEDS
9,48,NEEDS
9,49,NEEDS
9,50,NEEDS
9,51,NEEDS
9,52,NEEDS
9,53,NEEDS
9,54,NEEDS
9,55,NEEDS
9,56,NEEDS
9,57,NEEDS
9,58,NEEDS
9,59,NEEDS
9,60,NEEDS
9,61,NEEDS
9,62,NEEDS
9,63,NEEDS
9,64,NEEDS
9,65,NEEDS
9,66,NEEDS
9,67,NEEDS
9,68,NEEDS
9,69,NEEDS
9,70,NEEDS
9,71,NEEDS
10,72,NEEDS
10,73,NEEDS
10,74,NEEDS
10,75,NEEDS
10,76,NEEDS
10,77,NEEDS
10,78,NEEDS
10,79,NEEDS
10,80,NEEDS
10,81,NEEDS
10,82,NEEDS
13,82,NEEDS
10,83,NEEDS
10,84,NEEDS
10,85,NEEDS
10,86,NEEDS
10,87,NEEDS
10,88,NEEDS
10,89,NEEDS
10,90,NEEDS
10,91,NEEDS
10,92,NEEDS
11,93,NEEDS
11,94,NEEDS
11,95,NEEDS
11,96,NEEDS
11,97,NEEDS
11,98,NEEDS
12,98,NEEDS
11,99,NEEDS
11,100,NEEDS
11,101,NEEDS
11,102,NEEDS
11,103,NEEDS
11,104,NEEDS
11,105,NEEDS
11,106,NEEDS
11,107,NEEDS
11,108,NEEDS
11,109,NEEDS
11,110,NEEDS
11,111,NEEDS
11,112,NEEDS
11,113,NEEDS
11,114,NEEDS
11,115,NEEDS
11,116,NEEDS
11,117,NEEDS
11,118,NEEDS
11,119,NEEDS
11,120,NEEDS
11,121,NEEDS
11,122,NEEDS
11,123,NEEDS
12,123,NEEDS
11,124,NEEDS
11,125,NEEDS
11,126,NEEDS
11,127,NEEDS
11,128,NEEDS
11,129,NEEDS
11,130,NEEDS
12,131,NEEDS
12,132,NEEDS
12,133,NEEDS
12,134,NEEDS
12,135,NEEDS
12,136,NEEDS
12,137,NEEDS
12,138,NEEDS
12,139,NEEDS
12,140,NEEDS
12,141,NEEDS
12,142,NEEDS
13,143,NEEDS
13,144,NEEDS
13,145,NEEDS
13,146,NEEDS
13,147,NEEDS
13,148,NEEDS
13,149,NEEDS
13,150,NEEDS
13,151,NEEDS
13,152,NEEDS
13,153,NEEDS
13,154,NEEDS
13,155,NEEDS
13,156,NEEDS
13,157,NEEDS
13,158,NEEDS
13,159,NEEDS
13,160,NEEDS
13,161,NEEDS
13,162,NEEDS
13,163,NEEDS
13,164,NEEDS
13,165,NEEDS
13,166,NEEDS
13,167,NEEDS
13,168,NEEDS
