skill_id:ID,skill_name,aliases[],:LABEL
0,lightning connect,lightning connect,SKILL
1,salesforce,salesforce,SKILL
2,mobilesdk,mobilesdk,SKILL
3,apex,apex,SKILL
4,visualforce,visualforce,SKILL
5,salesforce1 platform and lightning components,salesforce1 platform and lightning components,SKILL
6,security,security,SKILL
7,edi,edi,SKILL
8,ms stack,ms stack,SKILL
9,sql server,sql server,SKILL
10,oo,oo,SKILL
11,spring framework mvc,spring framework mvc,SKILL
12,testing qa,testing qa,SKILL
13,experience gathering requirements,experience gathering requirements,SKILL
14,sql,sql,SKILL
15,architecture,architecture,SKILL
16,azure,azure,SKILL
17,aws,aws,SKILL
18,web development,web development;android development;product development,SKILL
19,python,python,SKILL
20,javascript,javascript;javascripts;javascript syntax,SKILL
21,html,html,SKILL
22,tableau,tableau,SKILL
23,java,java,SKILL
24,bigquery,bigquery,SKILL
25,mysql,mysql,SKILL
26,analyst,analysis;analyst,SKILL
27,peoplesoft test manager,peoplesoft test manager,SKILL
28,testing,testing;testng;ab testing,SKILL
29,dns,dns,SKILL
30,administrator,administrator,SKILL
31,analytics,analytics,SKILL
32,it ba,it ba,SKILL
33,sdlc,sdlc,SKILL
34,documentation,documents;documentation,SKILL
35,it business analyst,it business analyst,SKILL
36,requirement gathering,requirement gathering,SKILL
37,soap ui,soap ui,SKILL
38,itko lisa,itko lisa,SKILL
39,lisa,lisa,SKILL
40,relational databases,relational databases,SKILL
41,manager test engineering,manager test engineering,SKILL
42,lan,lan,SKILL
43,retail,retail,SKILL
44,sap,sap,SKILL
45,websphere commerce,websphere commerce,SKILL
46,ksh,ksh,SKILL
47,networking voice,networking voice,SKILL
48,peoplesoft,peoplesoft,SKILL
49,siebel,siebel,SKILL
50,wan,wan,SKILL
51,bourne shell scripting,bourne shell scripting,SKILL
52,development,android development;product development;development,SKILL
53,selenium,selenium  java;selenium;basic selenium,SKILL
54,websphere application server,websphere application server,SKILL
55,handson,handson,SKILL
56,soap,soap,SKILL
57,j2ee,j2ee,SKILL
58,svn,svn,SKILL
59,java development,android development;product development;java development,SKILL
60,mq,mq,SKILL
61,websphere,websphere,SKILL
62,rest,rest,SKILL
63,unix,unix,SKILL
64,a software engineer in test,software engineering;a software engineer in test,SKILL
65,ab initio etl,ab initio etl,SKILL
66,batch,batch,SKILL
67,scope,scope,SKILL
68,mvs cobol,mvs cobol,SKILL
69,websphere mq,websphere mq,SKILL
70,groovy,groovy,SKILL
71,ecommerceretail qa,ecommerceretail qa;ecommerce,SKILL
72,sdlc over infrastructure,sdlc over infrastructure,SKILL
73,saltstack,saltstack,SKILL
74,human resources department,human resources department;human resources,SKILL
75,windows,windows,SKILL
76,scrum,scrum,SKILL
77,saas,saas,SKILL
78,eeo,eeo,SKILL
79,ansible,ansible,SKILL
80,additional informationnuance communication inc.,additional informationnuance communication inc.,SKILL
81,linux,linux,SKILL
82,devops,devops,SKILL
83,orchestration,orchestration,SKILL
84,puppet,puppet,SKILL
85,healthcare,healthcare,SKILL
86,company overviewat nuance,company overviewat nuance,SKILL
87,perl,perl,SKILL
88,oo perl,oo perl,SKILL
89,noc,noc,SKILL
90,informationnuance communication inc.,informationnuance communication inc.,SKILL
91,infrastructure,infrastructure,SKILL
92,windows and linux,windows and linux,SKILL
93,accessexperience,accessexperience,SKILL
94,the bu s,the bu s,SKILL
95,"lexington, makelly services","lexington, makelly services",SKILL
96,power point,power point,SKILL
97,the field force,the field force,SKILL
98,kelly services,kelly services,SKILL
99,mdm data,mdm data,SKILL
100,competenciesestablishes,competenciesestablishes,SKILL
101,mdm data analyst  lexington,mdm data analyst  lexington,SKILL
102,it,it,SKILL
103,u.s. commercial operations,u.s. commercial operations,SKILL
104,commercial technology team it,commercial technology team it,SKILL
105,mdm,mdm,SKILL
106,the mdmdata governance manager,the mdmdata governance manager,SKILL
107,visiodemonstrates,visiodemonstrates,SKILL
108,microsoft office,microsoft office,SKILL
109,pharma,pharma,SKILL
110,mdm data analyst,mdm data analyst,SKILL
111,excel,excel,SKILL
112,ms excel,ms excel,SKILL
113,makelly services,makelly services,SKILL
114,bu,bu,SKILL
115,35 data steward team managementresponsible,35 data steward team managementresponsible,SKILL
116,visio,visio,SKILL
117,ms office,ms office,SKILL
118,commercial technology team,commercial technology team,SKILL
119,global data management peers,global data management peers,SKILL
120,product data harmonization,product data harmonization,SKILL
121,mdm uat testing45 operational excellenceresponsible,mdm uat testing45 operational excellenceresponsible,SKILL
122,informatica mdmidd,informatica mdmidd,SKILL
123,kelly learning center,kelly learning center,SKILL
124,sales operations,sales operations,SKILL
125,global commercial operations,global commercial operations,SKILL
126,management information systems,management information systems,SKILL
127,"finance, sciences","finance, sciences",SKILL
128,finance,finance,SKILL
129,sales leadership,sales leadership;leadership,SKILL
130,key skills,key skills,SKILL
131,lms,lms,SKILL
132,system administration,system administration,SKILL
133,regan.brownkellyit.com,regan.brownkellyit.com,SKILL
134,complexity and problem solving responsibilities,complexity and problem solving responsibilities,SKILL
135,saba admin and management,saba admin and management,SKILL
136,regan.brownkellyit.com.. job descriptionunder,regan.brownkellyit.com.. job descriptionunder,SKILL
137,the issue management tool,the issue management tool,SKILL
138,lms saba administrator  ,lms saba administrator  ,SKILL
139,"waltham, makelly services","waltham, makelly services",SKILL
140,lms saba administrator,lms saba administrator,SKILL
141,working conditionsresponsibilities,working conditionsresponsibilities,SKILL
142,"the manager, system administration","the manager, system administration",SKILL
143,"skills, knowledge and abilities handson","skills, knowledge and abilities handson",SKILL
144,html5,html5,SKILL
145,essential responsibilitiesfunctions research,essential responsibilitiesfunctions research,SKILL
146,ms,ms,SKILL
147,datavyu.org,datavyu.org,SKILL
148,js,js,SKILL
149,qa,qa,SKILL
150,api,api,SKILL
151,coffeescript,coffeescript,SKILL
152,developerposition summarythe databrary,developerposition summarythe databrary,SKILL
153,crm,crm,SKILL
154,abilities handson,abilities handson,SKILL
155,angular2,angular2,SKILL
156,job title front end developerposition summarythe,job title front end developerposition summarythe,SKILL
157,new york university,new york university,SKILL
158,pdf resume,pdf resume,SKILL
159,css,css,SKILL
160,ux,ux,SKILL
161,pdf resume pdfwe,pdf resume pdfwe,SKILL
162,tdd testdriven,tdd testdriven,SKILL
163,ui,ui,SKILL
164,databrary databrary.org,databrary databrary.org,SKILL
165,css3 stylus,css3 stylus,SKILL
166,reactjs,reactjs,SKILL
167,pis,pis,SKILL
168,mvcdesign,mvcdesign,SKILL
